@RELATION random_forest_new_dataset
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {crow,Dove,macaw,Parakeet,Parrot,Pigeon,sparrow}

@DATA
0.271533,0.055997,3.148213,0.318691,0.178467,1.568420,0.005722,0.399602,-26.170634,-3.093539,-1.001868,0.254229,-0.398219,0.684955,-0.284557,0.275177,-0.281457,0.134409,0.027442,-0.184180,-0.004474,0.005074,0.006994,0.006894,0.005648,0.002083,0.003422,0.003581,0.002993,0.002234,0.002072,0.002845,0.002934,0.004271,0.017021,0.016576,0.175888,0.020737,0.021598,0.300170,0.002213,0.061664,1.064552,0.769376,0.545304,0.246043,0.191337,0.154284,0.165721,0.160791,0.135425,0.112132,0.113535,0.159038,0.179643,0.003718,0.005045,0.005380,0.004246,0.001306,0.001996,0.002213,0.001793,0.001718,0.001275,0.002608,0.002028,0.001808,crow
0.294869,0.031680,3.088532,0.337178,0.185347,1.524166,0.006079,0.428958,-27.930497,-3.259656,-0.862671,0.243569,-0.446189,0.729499,-0.372271,0.355665,-0.269297,0.066435,0.028324,-0.131781,-0.062347,0.004209,0.005555,0.005026,0.005706,0.003481,0.004731,0.004091,0.002520,0.001361,0.001820,0.002221,0.003737,0.003792,0.026491,0.008115,0.211879,0.032403,0.029873,0.408187,0.002191,0.085314,1.227223,0.797119,0.460371,0.285925,0.192810,0.188286,0.218062,0.153581,0.132552,0.139967,0.098254,0.119675,0.182025,0.002752,0.003640,0.004671,0.003635,0.002512,0.003177,0.002449,0.001663,0.001069,0.001230,0.001361,0.002496,0.001334,crow
0.299323,0.039356,3.032762,0.335561,0.179393,1.533202,0.005355,0.422500,-27.280546,-3.369112,-0.569349,0.271897,-0.477401,0.663708,-0.340247,0.354333,-0.328540,0.117637,0.007866,-0.111469,-0.093958,0.003692,0.007504,0.003047,0.004298,0.003591,0.004187,0.005995,0.002332,0.001389,0.001437,0.001758,0.004260,0.003929,0.025785,0.012475,0.342866,0.028066,0.022723,0.413325,0.001479,0.091093,0.996486,0.724913,0.388999,0.259234,0.189174,0.186073,0.177187,0.128891,0.118015,0.098390,0.092747,0.145998,0.164778,0.003099,0.004975,0.003074,0.002131,0.002644,0.003139,0.003497,0.001355,0.001304,0.001041,0.001112,0.002708,0.001431,crow
0.327493,0.042822,3.170827,0.410053,0.242314,2.331969,0.002987,0.585417,-25.510144,-3.967809,-1.080154,0.100993,-0.239655,0.184024,0.423791,-0.512663,0.149013,0.068652,0.099720,-0.162065,-0.125695,0.003805,0.003605,0.001354,0.000528,0.001090,0.001914,0.001521,0.006585,0.004114,0.007102,0.006148,0.005428,0.003979,0.045626,0.015559,0.130181,0.022306,0.005425,0.224523,0.001036,0.143172,0.722218,0.727634,0.456223,0.248167,0.183836,0.108728,0.212404,0.063148,0.113490,0.135257,0.177208,0.234778,0.149920,0.000542,0.002117,0.000679,0.000224,0.000923,0.001694,0.000900,0.006032,0.002185,0.004631,0.004630,0.002861,0.001306,crow
0.292710,0.051770,3.208360,0.389069,0.243448,2.171794,0.003225,0.484167,-24.046854,-2.652910,-0.851131,0.119392,-0.164301,0.349230,0.251279,-0.332339,0.140024,-0.285613,0.121744,0.114827,-0.186284,0.003656,0.010334,0.000737,0.001318,0.001030,0.001634,0.001606,0.007108,0.006129,0.011158,0.009147,0.002252,0.006342,0.025329,0.020718,0.038368,0.018664,0.003322,0.144702,0.000998,0.062785,0.716928,0.676672,0.438386,0.135838,0.158081,0.184940,0.066018,0.157667,0.042501,0.132986,0.187981,0.207346,0.194952,0.002428,0.008284,0.000397,0.000667,0.000642,0.000882,0.001020,0.006652,0.005312,0.007817,0.005467,0.000562,0.001434,crow
0.292710,0.051812,3.208372,0.389087,0.243461,2.171853,0.003224,0.484167,-24.045784,-2.652957,-0.851196,0.119371,-0.164313,0.349229,0.251291,-0.332335,0.140031,-0.285625,0.121730,0.114784,-0.186320,0.003656,0.010334,0.000737,0.001318,0.001030,0.001634,0.001606,0.007108,0.006128,0.011157,0.009147,0.002252,0.006341,0.025329,0.020734,0.038358,0.018667,0.003339,0.144747,0.000998,0.062785,0.717190,0.676987,0.438481,0.135910,0.158075,0.184930,0.066068,0.157676,0.042508,0.132946,0.187976,0.207381,0.194920,0.002428,0.008285,0.000397,0.000667,0.000642,0.000882,0.001020,0.006652,0.005312,0.007817,0.005467,0.000562,0.001434,crow
0.144399,0.027799,3.200752,0.255017,0.256221,1.134343,0.005218,0.192500,-23.739552,1.607999,-0.012263,0.975462,-0.938762,0.474407,-0.081346,0.195012,-0.015396,-0.157365,0.157506,0.097185,0.017403,0.010691,0.004350,0.049629,0.006886,0.008168,0.006760,0.076108,0.000774,0.007554,0.012564,0.024519,0.003677,0.025129,0.036558,0.010027,0.050966,0.024802,0.004766,0.292577,0.001355,0.058802,0.457107,0.564174,0.103290,0.262470,0.159482,0.070765,0.087849,0.105951,0.099861,0.070017,0.113308,0.074862,0.132254,0.003302,0.002038,0.019785,0.004584,0.003463,0.003084,0.023790,0.000470,0.003121,0.004297,0.015519,0.002143,0.006446,crow
0.310336,0.072332,3.212061,0.403624,0.240998,2.090184,0.003272,0.578854,-24.706031,-3.658853,-1.129341,0.690059,-0.331624,0.464960,0.165152,-0.280758,-0.037633,-0.137214,0.236704,-0.090650,-0.055360,0.004022,0.008380,0.001291,0.001032,0.001615,0.002225,0.001233,0.002559,0.002943,0.002220,0.002911,0.003618,0.003189,0.046363,0.014116,0.029426,0.021288,0.005458,0.210651,0.001140,0.139276,0.074781,0.240557,0.153503,0.139619,0.239298,0.149247,0.236852,0.114431,0.081719,0.088738,0.086791,0.206895,0.125350,0.001596,0.006678,0.001323,0.000444,0.001060,0.001175,0.000518,0.001427,0.001270,0.001328,0.001432,0.003057,0.001391,crow
0.161869,0.071772,3.142876,0.223819,0.176499,1.058094,0.007384,0.203958,-24.848488,-1.722561,-3.185316,1.450916,-0.088571,0.031385,0.034761,-0.128079,0.412100,-0.046180,-0.330231,0.013032,-0.263676,0.006474,0.007517,0.005924,0.004470,0.009217,0.009312,0.011214,0.005241,0.005058,0.011757,0.009207,0.008667,0.008924,0.009399,0.014176,0.146511,0.013321,0.015939,0.124624,0.001515,0.002792,1.163128,0.347554,0.342018,0.447283,0.154299,0.091591,0.136413,0.135160,0.077710,0.080555,0.049557,0.101953,0.041000,0.002247,0.005021,0.001261,0.002343,0.002376,0.006701,0.015375,0.005163,0.002284,0.003434,0.002348,0.002590,0.004276,crow
0.196235,0.042239,2.936847,0.258623,0.189473,1.364767,0.007772,0.272396,-26.408523,-1.581539,-2.402228,0.695998,-0.527735,0.347348,-0.060226,0.168484,0.153779,-0.235744,-0.119348,-0.044560,0.107285,0.010999,0.005468,0.007806,0.010305,0.006296,0.005999,0.007065,0.005822,0.004898,0.004058,0.005713,0.009084,0.007422,0.034542,0.017935,0.270868,0.039445,0.028434,0.397885,0.003006,0.092840,1.894891,0.562142,0.435298,0.657281,0.178148,0.160460,0.300605,0.176534,0.194161,0.189431,0.121750,0.154050,0.095345,0.006301,0.003095,0.006104,0.010768,0.002722,0.005558,0.005687,0.002802,0.003685,0.002396,0.002910,0.006490,0.002030,crow
0.270025,0.054324,3.173994,0.342161,0.210429,1.731499,0.003281,0.353750,-24.329450,-2.359240,-0.870497,0.902837,-0.569936,0.480309,-0.215134,0.106219,-0.013972,0.124298,-0.024642,-0.166616,-0.010881,0.002110,0.003731,0.003998,0.009679,0.002213,0.004410,0.001853,0.000705,0.003622,0.006416,0.001360,0.002951,0.004038,0.015816,0.015488,0.103943,0.012867,0.005549,0.144203,0.000850,0.065821,0.675352,0.341243,0.211866,0.216274,0.076169,0.090050,0.184635,0.181288,0.127752,0.116742,0.139759,0.126781,0.125644,0.001759,0.001626,0.002789,0.008257,0.001437,0.003058,0.001037,0.000379,0.002409,0.005441,0.000459,0.002144,0.001421,crow
0.296706,0.027850,3.092064,0.350160,0.210679,1.732126,0.005212,0.397784,-27.064565,-1.676906,-0.417720,0.415235,-0.612434,0.331512,-0.242042,0.238559,0.196023,-0.033045,0.095223,-0.087091,0.136362,0.002969,0.008414,0.003228,0.006006,0.003150,0.002354,0.003537,0.001432,0.002505,0.003068,0.002619,0.005359,0.003734,0.028141,0.022942,0.211739,0.012804,0.007749,0.272203,0.001698,0.055029,1.193127,0.556326,0.287247,0.381029,0.194693,0.175411,0.251028,0.131308,0.139230,0.150999,0.118821,0.126608,0.123288,0.001730,0.005353,0.001869,0.004252,0.001566,0.001306,0.001668,0.000683,0.001972,0.002187,0.001455,0.002958,0.001499,crow
0.261108,0.062855,3.141991,0.318857,0.190545,1.341498,0.005328,0.308438,-24.219860,-2.175576,-0.515356,0.730259,-0.876145,0.652202,-0.376456,0.126389,-0.142158,0.431890,-0.311166,0.098545,-0.048058,0.001822,0.002420,0.001625,0.009748,0.009732,0.004266,0.002154,0.001610,0.002769,0.004155,0.003053,0.006302,0.005005,0.017540,0.035204,0.176398,0.012466,0.010000,0.321489,0.002004,0.022802,0.750853,0.495648,0.298340,0.246979,0.189413,0.355759,0.272588,0.176154,0.139643,0.049669,0.137751,0.161289,0.131284,0.002298,0.001272,0.001153,0.009012,0.010911,0.002584,0.001478,0.001235,0.002966,0.003264,0.002574,0.006205,0.003826,crow
0.245567,0.041513,3.159463,0.338237,0.262488,1.792565,0.004661,0.403438,-23.545459,0.016602,0.374784,1.094972,-0.395345,0.183581,0.051654,0.170332,0.142892,-0.056091,0.193173,0.089817,-0.110305,0.007299,0.007067,0.035633,0.003937,0.004962,0.002700,0.039426,0.001517,0.002534,0.004425,0.013515,0.001625,0.014788,0.048874,0.018399,0.066572,0.032270,0.011964,0.395963,0.002641,0.100443,0.728752,0.812731,0.281073,0.589735,0.378659,0.308818,0.268220,0.087504,0.212597,0.187719,0.169621,0.167551,0.183239,0.007070,0.005454,0.030387,0.002079,0.003937,0.001701,0.034064,0.001460,0.000905,0.003015,0.007020,0.000498,0.010272,crow
0.170943,0.057017,3.198086,0.245016,0.234331,1.364546,0.005790,0.219583,-22.547016,0.884965,-0.174836,1.501489,-0.750199,0.570455,-0.220387,0.272648,0.065604,-0.184752,0.136966,0.092179,0.072028,0.005659,0.006981,0.050438,0.005678,0.015811,0.003521,0.040337,0.002241,0.002982,0.007728,0.023021,0.003582,0.018994,0.025892,0.021815,0.067626,0.014154,0.017339,0.212435,0.001868,0.030369,0.638981,0.682101,0.215329,0.250353,0.225401,0.135988,0.142249,0.158117,0.168603,0.172567,0.116669,0.134900,0.148657,0.002649,0.006843,0.032905,0.003543,0.010088,0.002064,0.021709,0.001787,0.001623,0.003757,0.018171,0.001770,0.009494,crow
0.056397,0.031440,3.032323,0.143001,0.180363,0.336308,0.006114,0.057804,-25.817096,1.021347,0.179725,1.346216,0.116835,0.695048,-0.315534,-0.130587,0.018432,0.062570,0.141058,-0.083265,-0.128084,0.008935,0.002662,0.079156,0.005365,0.012291,0.003438,0.065651,0.001169,0.002233,0.008409,0.037656,0.003165,0.031209,0.014531,0.014296,0.148314,0.009272,0.019224,0.122078,0.003007,0.024689,0.995355,0.818201,0.206657,0.334495,0.208220,0.167322,0.123381,0.138272,0.123205,0.161067,0.103510,0.140607,0.105989,0.005576,0.002617,0.043111,0.003710,0.006879,0.002378,0.039695,0.001109,0.001665,0.005605,0.021437,0.002027,0.013494,crow
0.050209,0.020578,3.026505,0.144808,0.192077,0.276747,0.007042,0.044845,-26.742288,1.553667,0.201909,1.159433,0.205068,0.508546,-0.293994,-0.169156,-0.002983,0.063280,0.089428,-0.035002,-0.099626,0.012320,0.002323,0.082439,0.008099,0.019117,0.004835,0.081946,0.000884,0.002813,0.009229,0.036001,0.002734,0.035512,0.012665,0.009863,0.138159,0.010721,0.019092,0.092990,0.002638,0.014732,0.800254,0.620266,0.183720,0.271486,0.192647,0.163983,0.127004,0.115813,0.126692,0.124899,0.135977,0.124212,0.115433,0.009683,0.001967,0.050931,0.005528,0.011037,0.003451,0.045088,0.000722,0.001666,0.006519,0.023638,0.001947,0.012377,crow
0.060782,0.035798,3.039962,0.145090,0.176667,0.349935,0.006546,0.061074,-25.439661,0.852185,0.197347,1.437060,-0.024063,0.621011,-0.355141,-0.125325,0.041171,0.023754,0.141494,-0.038437,-0.118979,0.015788,0.002758,0.053446,0.005993,0.011538,0.004685,0.075980,0.001083,0.002501,0.011207,0.026577,0.002473,0.028870,0.012778,0.019011,0.149917,0.010076,0.019134,0.118733,0.002787,0.025946,1.026938,0.750012,0.217001,0.336052,0.195804,0.136397,0.124778,0.117801,0.127142,0.133888,0.118173,0.122935,0.120374,0.007985,0.002637,0.038564,0.002705,0.008225,0.002453,0.042619,0.000766,0.001653,0.004871,0.012005,0.001682,0.012919,crow
0.060880,0.035794,3.039961,0.145102,0.176689,0.349941,0.006545,0.061074,-25.439800,0.852192,0.197343,1.437054,-0.024058,0.621004,-0.355134,-0.125322,0.041171,0.023753,0.141495,-0.038441,-0.118974,0.015788,0.002758,0.053446,0.005993,0.011538,0.004685,0.075980,0.001083,0.002501,0.011207,0.026577,0.002473,0.028870,0.012637,0.019009,0.149918,0.010071,0.019160,0.118732,0.002786,0.025946,1.026939,0.750012,0.217000,0.336057,0.195805,0.136393,0.124779,0.117802,0.127141,0.133886,0.118176,0.122940,0.120377,0.007985,0.002637,0.038563,0.002705,0.008225,0.002453,0.042619,0.000766,0.001653,0.004871,0.012005,0.001682,0.012919,crow
0.054356,0.029387,3.043818,0.135778,0.175115,0.300978,0.007597,0.053970,-25.848405,1.136908,0.071801,1.385640,0.138952,0.583997,-0.302941,-0.136168,-0.005997,0.099250,0.216979,-0.025246,-0.121087,0.011030,0.003938,0.063323,0.004749,0.015771,0.004077,0.070159,0.001005,0.002641,0.007976,0.041646,0.002032,0.030091,0.012508,0.014574,0.125680,0.009303,0.016829,0.100696,0.003273,0.018120,0.908066,0.670634,0.173833,0.306693,0.237092,0.147239,0.146683,0.140559,0.144854,0.129490,0.131145,0.129713,0.106051,0.007818,0.004202,0.035050,0.002766,0.007888,0.003589,0.040019,0.000750,0.001860,0.004476,0.025470,0.001572,0.011371,crow
0.041488,0.045899,3.154063,0.124183,0.175362,0.219911,0.009175,0.045772,-25.019842,1.127781,0.137012,1.334735,0.039949,0.636915,-0.128999,0.032821,0.195409,0.077454,0.217634,0.038485,-0.021053,0.003186,0.003214,0.040027,0.001536,0.006207,0.000999,0.191195,0.000509,0.001093,0.003168,0.045770,0.001812,0.054750,0.013009,0.013083,0.067656,0.014689,0.021268,0.082033,0.004292,0.013832,0.690186,0.576045,0.167633,0.292886,0.220356,0.147676,0.148886,0.136117,0.114406,0.124165,0.116432,0.105491,0.097199,0.001728,0.002546,0.021279,0.000760,0.003772,0.000660,0.053683,0.000434,0.000702,0.001968,0.024263,0.001254,0.013416,crow
