@RELATION scripts/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {crow,sparrow,cuckoo}

@DATA
0.238579,0.055957,3.147159,0.299246,0.163681,1.681505,0.004993,0.348125,-24.896414,-3.788260,-1.024413,0.221332,-0.138026,0.595376,0.442923,-0.601544,-0.215234,0.185659,-0.121768,0.533775,-0.169302,0.001654,0.000748,0.000824,0.001553,0.001524,0.002287,0.002741,0.001744,0.007265,0.015727,0.006969,0.007745,0.005790,0.007283,0.015992,0.180489,0.005670,0.004363,0.107149,0.001368,0.003851,0.326570,0.736628,0.282322,0.121648,0.225739,0.118072,0.121919,0.113368,0.107159,0.134665,0.164050,0.237696,0.280500,0.001171,0.000123,0.000470,0.000687,0.001264,0.001070,0.000381,0.000924,0.004225,0.010323,0.004630,0.005767,0.001317,crow
0.194305,0.054994,3.158073,0.307376,0.266128,1.641033,0.004836,0.247187,-23.037000,0.609164,-0.078077,1.505777,-0.876023,0.682917,-0.048147,0.217882,-0.054148,-0.160487,0.157324,0.130491,-0.030833,0.002790,0.003002,0.032956,0.003380,0.007571,0.005320,0.043379,0.000838,0.004015,0.008964,0.034644,0.006664,0.019231,0.057502,0.030713,0.107738,0.046637,0.010420,0.378986,0.002348,0.065002,0.893239,0.852071,0.185831,0.228194,0.335120,0.134434,0.113820,0.130275,0.242496,0.093919,0.155067,0.108233,0.196028,0.001542,0.002127,0.028488,0.001415,0.004209,0.003338,0.043896,0.000570,0.002264,0.008480,0.024852,0.004728,0.014967,crow
0.232791,0.059938,3.059485,0.311338,0.207886,1.596986,0.002486,0.333333,-23.777284,-2.655099,-0.766767,0.871786,-0.265222,0.008594,0.282797,-0.588291,0.169679,0.188187,0.099076,-0.158374,-0.217678,0.001003,0.000588,0.000343,0.002165,0.002066,0.006325,0.002249,0.000724,0.001448,0.004676,0.005321,0.004424,0.002386,0.007153,0.010584,0.045452,0.000616,0.009907,0.099885,0.001904,0.048362,0.506087,0.430749,0.196582,0.127653,0.152894,0.161651,0.031443,0.053313,0.123738,0.076284,0.021076,0.119120,0.173557,0.000482,0.000270,0.000038,0.001039,0.001161,0.002516,0.000969,0.000503,0.000817,0.001210,0.002688,0.002848,0.000601,crow
0.222778,0.062556,3.193968,0.286809,0.179304,1.532285,0.002536,0.318750,-24.119340,-3.231497,-1.051740,0.990722,-0.152898,0.097285,0.075210,-0.361983,0.288875,0.116026,0.065095,-0.392302,-0.093591,0.003252,0.000675,0.001990,0.001572,0.002417,0.007006,0.004545,0.001306,0.001215,0.005095,0.008432,0.002750,0.003065,0.007509,0.006155,0.005520,0.006969,0.001566,0.157038,0.002536,0.056250,0.404770,0.446814,0.394038,0.098293,0.013832,0.113077,0.064015,0.018096,0.056548,0.060584,0.001850,0.049107,0.009804,0.001407,0.000235,0.000809,0.000139,0.000253,0.004326,0.002619,0.001143,0.000134,0.003668,0.006562,0.001563,0.001417,crow
0.225282,0.069478,3.209540,0.292982,0.175537,1.635037,0.003204,0.341667,-25.056606,-4.447663,-1.445047,0.876223,0.136461,0.293470,0.219660,-0.687626,0.141086,0.266348,-0.039594,-0.294129,-0.069049,0.004302,0.000271,0.001012,0.003349,0.004314,0.003482,0.005580,0.002300,0.001101,0.013396,0.001108,0.003038,0.004548,0.014197,0.016950,0.057125,0.005885,0.000851,0.152000,0.002266,0.050840,0.306796,0.313998,0.310790,0.222237,0.165566,0.085086,0.014598,0.140727,0.206088,0.131428,0.208477,0.166717,0.319717,0.001097,0.000025,0.000262,0.002433,0.001807,0.003603,0.003846,0.001658,0.000796,0.012077,0.000282,0.000964,0.002286,crow
0.231852,0.071872,3.184388,0.285286,0.174082,1.647049,0.003589,0.328125,-24.147871,-3.678257,-1.589362,0.464294,0.020280,0.193650,0.217243,-0.570686,0.133973,0.126624,0.035611,-0.130787,-0.201406,0.001631,0.000660,0.000761,0.003743,0.006228,0.001009,0.002765,0.001458,0.002045,0.019318,0.007641,0.008092,0.006583,0.010780,0.015261,0.066487,0.010488,0.006147,0.124056,0.002308,0.045668,0.814154,1.071545,0.948586,0.488186,0.218064,0.184333,0.132936,0.071976,0.145797,0.016081,0.084611,0.219960,0.315614,0.000948,0.000353,0.000634,0.002634,0.004873,0.000722,0.002430,0.000695,0.001291,0.012339,0.003832,0.006812,0.001865,crow
0.271533,0.055997,3.148213,0.318691,0.178467,1.568420,0.005722,0.399602,-26.170634,-3.093539,-1.001868,0.254229,-0.398219,0.684955,-0.284557,0.275177,-0.281457,0.134409,0.027442,-0.184180,-0.004474,0.005074,0.006994,0.006894,0.005648,0.002083,0.003422,0.003581,0.002993,0.002234,0.002072,0.002845,0.002934,0.004271,0.017021,0.016576,0.175888,0.020737,0.021598,0.300170,0.002213,0.061664,1.064552,0.769376,0.545304,0.246043,0.191337,0.154284,0.165721,0.160791,0.135425,0.112132,0.113535,0.159038,0.179643,0.003718,0.005045,0.005380,0.004246,0.001306,0.001996,0.002213,0.001793,0.001718,0.001275,0.002608,0.002028,0.001808,crow
0.294869,0.031680,3.088532,0.337178,0.185347,1.524166,0.006079,0.428958,-27.930497,-3.259656,-0.862671,0.243569,-0.446189,0.729499,-0.372271,0.355665,-0.269297,0.066435,0.028324,-0.131781,-0.062347,0.004209,0.005555,0.005026,0.005706,0.003481,0.004731,0.004091,0.002520,0.001361,0.001820,0.002221,0.003737,0.003792,0.026491,0.008115,0.211879,0.032403,0.029873,0.408187,0.002191,0.085314,1.227223,0.797119,0.460371,0.285925,0.192810,0.188286,0.218062,0.153581,0.132552,0.139967,0.098254,0.119675,0.182025,0.002752,0.003640,0.004671,0.003635,0.002512,0.003177,0.002449,0.001663,0.001069,0.001230,0.001361,0.002496,0.001334,crow
0.299323,0.039356,3.032762,0.335561,0.179393,1.533202,0.005355,0.422500,-27.280546,-3.369112,-0.569349,0.271897,-0.477401,0.663708,-0.340247,0.354333,-0.328540,0.117637,0.007866,-0.111469,-0.093958,0.003692,0.007504,0.003047,0.004298,0.003591,0.004187,0.005995,0.002332,0.001389,0.001437,0.001758,0.004260,0.003929,0.025785,0.012475,0.342866,0.028066,0.022723,0.413325,0.001479,0.091093,0.996486,0.724913,0.388999,0.259234,0.189174,0.186073,0.177187,0.128891,0.118015,0.098390,0.092747,0.145998,0.164778,0.003099,0.004975,0.003074,0.002131,0.002644,0.003139,0.003497,0.001355,0.001304,0.001041,0.001112,0.002708,0.001431,crow
0.327493,0.042822,3.170827,0.410053,0.242314,2.331969,0.002987,0.585417,-25.510144,-3.967809,-1.080154,0.100993,-0.239655,0.184024,0.423791,-0.512663,0.149013,0.068652,0.099720,-0.162065,-0.125695,0.003805,0.003605,0.001354,0.000528,0.001090,0.001914,0.001521,0.006585,0.004114,0.007102,0.006148,0.005428,0.003979,0.045626,0.015559,0.130181,0.022306,0.005425,0.224523,0.001036,0.143172,0.722218,0.727634,0.456223,0.248167,0.183836,0.108728,0.212404,0.063148,0.113490,0.135257,0.177208,0.234778,0.149920,0.000542,0.002117,0.000679,0.000224,0.000923,0.001694,0.000900,0.006032,0.002185,0.004631,0.004630,0.002861,0.001306,crow
